DATE     UBIT   DURATION    ACTIVITY & TOOL DESCRIPTION

02/03/24,jiewenhu, 10min, created github repo and discussed the approach of the project along with our next meeting.
02/07/24,jiewenhu, 15min, went over the project requirements to make sure everyone in the team had a clear understanding of the expectation and discussed distribution of work
02/18/24,jiewenhu, 30min, confirmed all command line arguments were performing properly in the csv program
02/18/24,jiewenhu, 30min, teammate expressed concern in testing so I also manually tested it to confirm that it was working properly.
